ligand,receptor,cell_from_logFC,cell_from_q.value,cell_from,cell_to_logFC,cell_to_q.value,cell_to,comm_type
IL27,IL27RA,0.291796353,7.65E-07,DC,0.282670569,0.054548658,Prolif.T,other
INHBA,ENG,-0.479719933,1.13E-22,DC,-0.435802415,2.70E-17,Prolif.T,other
IRAK4,TLR4,0.153549596,1,DC,-0.331521847,9.33E-36,Prolif.T,other
LGALS3BP,ITGB1,0.321128794,0.000860647,DC,-0.225799727,1,Prolif.T,other
LGALS3BP,VANGL1,0.321128794,0.000860647,DC,0.102985873,1,Prolif.T,other
LGALS9,HAVCR2,0.271284614,0.074295974,DC,1.033410495,1.08E-15,Prolif.T,other
LTB,LTBR,0.162701279,7.39E-10,DC,-0.368362456,2.37E-44,Prolif.T,other
LY86,CD180,-0.125907229,1,DC,-0.320305585,7.69E-21,Prolif.T,other
LYZ,ITGAL,-0.492058875,1.12E-21,DC,0.138777348,1,Prolif.T,other
MDK,ITGA4,0.289846551,4.83E-06,DC,0.795369665,2.62E-10,Prolif.T,other
MDK,ITGB1,0.289846551,4.83E-06,DC,-0.225799727,1,Prolif.T,other
MDK,LRP1,0.289846551,4.83E-06,DC,-1.072248985,4.88E-99,Prolif.T,other
PKM,CD44,-0.174182833,0.003199687,DC,-0.379262167,3.64E-05,Prolif.T,other
PLAU,ITGA5,-0.122404296,1,DC,-0.261011567,1.23E-12,Prolif.T,other
PLAU,LRP1,-0.122404296,1,DC,-1.072248985,4.88E-99,Prolif.T,other
PLAU,PLAUR,-0.122404296,1,DC,-1.064926456,6.94E-53,Prolif.T,other
POMC,ADRB2,0.108774536,0.296231845,DC,-0.272850235,7.85E-16,Prolif.T,other
PTDSS1,JMJD6,-0.239777701,2.82E-06,DC,0.282585349,0.00463609,Prolif.T,other
RPS19,C5AR1,-0.247753199,1.02E-18,DC,-0.706202199,1.05E-65,Prolif.T,other
RPS27A,ADRB2,-0.373923697,4.39E-30,DC,-0.272850235,7.85E-16,Prolif.T,other
RPS27A,LDLR,-0.373923697,4.39E-30,DC,0.139696964,1,Prolif.T,other
RPS27A,TGFBR1,-0.373923697,4.39E-30,DC,-0.153973664,7.32E-05,Prolif.T,other
RPS27A,TGFBR2,-0.373923697,4.39E-30,DC,0.221162923,1,Prolif.T,other
RPS27A,TLR4,-0.373923697,4.39E-30,DC,-0.331521847,9.33E-36,Prolif.T,other
S100A8,TLR4,1.392842237,2.87E-08,DC,-0.331521847,9.33E-36,Prolif.T,other
S100A9,TLR4,1.252439942,1.28E-12,DC,-0.331521847,9.33E-36,Prolif.T,other
SCT,ADRB2,0.529727943,6.53E-08,DC,-0.272850235,7.85E-16,Prolif.T,other
SERPING1,LRP1,0.524658948,1.33E-18,DC,-1.072248985,4.88E-99,Prolif.T,other
SPP1,CD44,1.191136836,6.55E-08,DC,-0.379262167,3.64E-05,Prolif.T,other
SPP1,ITGA4,1.191136836,6.55E-08,DC,0.795369665,2.62E-10,Prolif.T,other
SPP1,ITGA5,1.191136836,6.55E-08,DC,-0.261011567,1.23E-12,Prolif.T,other
SPP1,ITGB1,1.191136836,6.55E-08,DC,-0.225799727,1,Prolif.T,other
SPP1,ITGB5,1.191136836,6.55E-08,DC,-0.156552475,1.92E-17,Prolif.T,other
SPP1,S1PR1,1.191136836,6.55E-08,DC,0.15378136,1,Prolif.T,other
TGFB1,ACVRL1,-0.115645709,1,DC,-0.325126596,1.25E-48,Prolif.T,other
TGFB1,ENG,-0.115645709,1,DC,-0.435802415,2.70E-17,Prolif.T,other
TGFB1,ITGB8,-0.115645709,1,DC,-0.209066483,8.88E-31,Prolif.T,other
TGFB1,SDC2,-0.115645709,1,DC,-0.268916564,3.48E-13,Prolif.T,other
TGM2,ITGA4,0.181261462,0.046309002,DC,0.795369665,2.62E-10,Prolif.T,other
TGS1,RXRA,0.14822538,1,DC,-0.320066249,1.28E-26,Prolif.T,other
TIMP1,CD63,0.206008571,1,DC,-1.165868542,1.59E-28,Prolif.T,other
UBA52,ADRB2,-0.133385921,0.485806668,DC,-0.272850235,7.85E-16,Prolif.T,other
UBA52,TLR4,-0.133385921,0.485806668,DC,-0.331521847,9.33E-36,Prolif.T,other
UBB,ADRB2,0.123879011,0.000687624,DC,-0.272850235,7.85E-16,Prolif.T,other
UBB,TLR4,0.123879011,0.000687624,DC,-0.331521847,9.33E-36,Prolif.T,other
UBC,ADRB2,0.146330419,1,DC,-0.272850235,7.85E-16,Prolif.T,other
UBC,TLR4,0.146330419,1,DC,-0.331521847,9.33E-36,Prolif.T,other
VCAN,CD44,0.545262798,1.80E-07,DC,-0.379262167,3.64E-05,Prolif.T,other
VCAN,ITGA4,0.545262798,1.80E-07,DC,0.795369665,2.62E-10,Prolif.T,other
VCAN,ITGB1,0.545262798,1.80E-07,DC,-0.225799727,1,Prolif.T,other
VCAN,SELL,0.545262798,1.80E-07,DC,1.574796885,1.19E-27,Prolif.T,other
VCAN,TLR1,0.545262798,1.80E-07,DC,-0.179094864,5.16E-10,Prolif.T,other
VEGFA,ITGB1,-0.266611663,1.29E-12,DC,-0.225799727,1,Prolif.T,other
VEGFA,NRP1,-0.266611663,1.29E-12,DC,-0.290181771,5.76E-36,Prolif.T,other
VEGFA,NRP2,-0.266611663,1.29E-12,DC,-0.315717053,2.50E-18,Prolif.T,other
VEGFA,SIRPA,-0.266611663,1.29E-12,DC,-0.789746827,1.56E-85,Prolif.T,other
VIM,CD44,-0.511381767,1.11E-27,DC,-0.379262167,3.64E-05,Prolif.T,other
ADA,DPP4,0.265775873,9.77E-09,DC,0.435419097,3.62E-06,Prolif.T,other
FADD,FAS,0.130606675,1,DC,0.4273475,2.40E-05,Prolif.T,other
SYK,FCGR2A,0.124837564,1,DC,-0.797350359,1.87E-55,Prolif.T,other
PECAM1,CD38,0.145131868,1,DC,1.300993579,4.95E-25,Prolif.T,other
CD22,PTPRC,-0.290451788,1.25E-09,DC,0.649620462,4.54E-15,Prolif.T,other
LILRB4,LAIR1,1.065902205,5.40E-50,DC,-0.841934038,1.73E-34,Prolif.T,other
CD47,SIRPG,0.412433656,1.07E-09,DC,0.933578991,1.05E-16,Prolif.T,other
ADAM10,AXL,-0.127216484,1,Prolif.T,-0.221964433,4.27E-07,DC,other
ADAM15,ITGB1,-0.235160802,0.023615448,Prolif.T,-0.213720894,0.008761289,DC,other
ADAM17,ITGB1,-0.264998962,0.077124774,Prolif.T,-0.213720894,0.008761289,DC,other
ADAM9,ITGB1,-0.123168509,0.006051707,Prolif.T,-0.213720894,0.008761289,DC,other
ALOX5AP,ALOX5,-1.367105646,5.74E-31,Prolif.T,-0.413204196,1.16E-13,DC,other
ANXA1,DYSF,-0.545659214,1.90E-06,Prolif.T,0.13058116,0.006505105,DC,other
ANXA1,FPR1,-0.545659214,1.90E-06,Prolif.T,0.322332421,1,DC,other
ANXA1,FPR3,-0.545659214,1.90E-06,Prolif.T,-0.138568954,0.746612893,DC,other
APOE,LRP1,-3.121484891,3.33E-134,Prolif.T,0.137098017,1,DC,other
B2M,CD1A,0.188982292,1,Prolif.T,-0.294119232,2.01E-24,DC,other
B2M,CD1B,0.188982292,1,Prolif.T,-0.723685429,3.56E-60,DC,other
C1QB,LRP1,-2.752591976,4.54E-85,Prolif.T,0.137098017,1,DC,other
CALM1,FAS,0.354494491,8.15E-06,Prolif.T,0.164729635,0.00537555,DC,other
CALM1,KCNN4,0.354494491,8.15E-06,Prolif.T,-0.119221797,0.759331712,DC,other
CALM1,SELL,0.354494491,8.15E-06,Prolif.T,0.85925678,5.28E-25,DC,other
CALM2,SELL,-0.367635153,0.012687701,Prolif.T,0.85925678,5.28E-25,DC,other
CALM3,SELL,0.372229962,0.00416463,Prolif.T,0.85925678,5.28E-25,DC,other
CCL23,CCR1,-0.387630751,2.26E-48,Prolif.T,0.587772352,4.22E-16,DC,other
CCL2,CCR1,0.907710595,1,Prolif.T,0.587772352,4.22E-16,DC,other
CCL3,CCR1,1.240883927,0.206365435,Prolif.T,0.587772352,4.22E-16,DC,other
CCL4,CCR1,2.756654475,2.08E-11,Prolif.T,0.587772352,4.22E-16,DC,other
CCL5,CCR1,2.188584093,2.71E-30,Prolif.T,0.587772352,4.22E-16,DC,other
CCL5,CXCR3,2.188584093,2.71E-30,Prolif.T,0.666163984,2.48E-10,DC,other
CD14,ITGA4,-0.834938864,2.90E-52,Prolif.T,0.109853142,1,DC,other
CD14,ITGB1,-0.834938864,2.90E-52,Prolif.T,-0.213720894,0.008761289,DC,other
CD14,TLR4,-0.834938864,2.90E-52,Prolif.T,0.110770708,1,DC,other
CD36,TLR4,-0.415231966,4.87E-16,Prolif.T,0.110770708,1,DC,other
CD48,CD2,1.240609206,1.00E-25,Prolif.T,0.235858083,0.008006954,DC,other
CD58,CD2,0.170133854,1,Prolif.T,0.235858083,0.008006954,DC,other
DEFB1,CCR6,-0.635890194,1.48E-28,Prolif.T,-0.436572351,2.96E-15,DC,other
FASLG,FAS,0.475913112,1.50E-07,Prolif.T,0.164729635,0.00537555,DC,other
FASLG,TNFRSF1A,0.475913112,1.50E-07,Prolif.T,0.120015386,1,DC,other
FLT3LG,FLT3,0.467389788,7.17E-06,Prolif.T,0.19969943,1,DC,other
FN1,CD44,-1.737660924,9.44E-66,Prolif.T,-0.488779985,9.24E-21,DC,other
FN1,CD79A,-1.737660924,9.44E-66,Prolif.T,-0.681743486,8.97E-05,DC,other
FN1,ITGA4,-1.737660924,9.44E-66,Prolif.T,0.109853142,1,DC,other
FN1,ITGB1,-1.737660924,9.44E-66,Prolif.T,-0.213720894,0.008761289,DC,other
FN1,ITGB7,-1.737660924,9.44E-66,Prolif.T,0.186093451,0.002787819,DC,other
FN1,PLAUR,-1.737660924,9.44E-66,Prolif.T,-0.254218627,1,DC,other
GZMB,IGF2R,4.076729536,2.04E-31,Prolif.T,0.293120688,1,DC,other
HBEGF,CD44,-0.227722212,2.81E-10,Prolif.T,-0.488779985,9.24E-21,DC,other
HBEGF,CD82,-0.227722212,2.81E-10,Prolif.T,-0.198067041,1,DC,other
HBEGF,CD9,-0.227722212,2.81E-10,Prolif.T,-1.077316816,3.62E-51,DC,other
HEBP1,FPR3,-0.500189111,1.94E-16,Prolif.T,-0.138568954,0.746612893,DC,other
HLA-C,LILRB1,-0.784682436,1.69E-21,Prolif.T,0.313103286,0.070908655,DC,other
HLA-C,LILRB2,-0.784682436,1.69E-21,Prolif.T,0.397468232,0.035435358,DC,other
HP,ITGAM,-1.946547058,3.54E-119,Prolif.T,0.114268,1,DC,other
HSP90B1,TLR2,-0.282047545,0.921384071,Prolif.T,0.391835583,2.09E-07,DC,other
LGALS1,CD69,0.182888472,1,Prolif.T,-0.456912575,4.56E-11,DC,other
LGALS3BP,ITGB1,-1.120724327,7.79E-35,Prolif.T,-0.213720894,0.008761289,DC,other
LPL,CD44,-1.162627193,9.23E-170,Prolif.T,-0.488779985,9.24E-21,DC,other
LPL,LRP1,-1.162627193,9.23E-170,Prolif.T,0.137098017,1,DC,other
LRPAP1,LRP1,-1.064520981,2.19E-26,Prolif.T,0.137098017,1,DC,other
LRPAP1,SORT1,-1.064520981,2.19E-26,Prolif.T,-0.199118245,0.002654783,DC,other
LY86,CD180,-0.599679495,1.61E-49,Prolif.T,0.280554996,1.72E-06,DC,other
MDK,ITGA4,-0.230456649,6.59E-08,Prolif.T,0.109853142,1,DC,other
MDK,ITGB1,-0.230456649,6.59E-08,Prolif.T,-0.213720894,0.008761289,DC,other
MDK,LRP1,-0.230456649,6.59E-08,Prolif.T,0.137098017,1,DC,other
PLAU,IGF2R,-0.328695699,1.00E-33,Prolif.T,0.293120688,1,DC,other
PLAU,ITGAM,-0.328695699,1.00E-33,Prolif.T,0.114268,1,DC,other
PLAU,ITGB1,-0.328695699,1.00E-33,Prolif.T,-0.213720894,0.008761289,DC,other
PLAU,LRP1,-0.328695699,1.00E-33,Prolif.T,0.137098017,1,DC,other
PLAU,PLAUR,-0.328695699,1.00E-33,Prolif.T,-0.254218627,1,DC,other
PLAU,ST14,-0.328695699,1.00E-33,Prolif.T,0.161470632,1,DC,other
PROS1,AXL,-0.284994675,1.83E-42,Prolif.T,-0.221964433,4.27E-07,DC,other
PSAP,CD1B,-1.868721329,1.13E-37,Prolif.T,-0.723685429,3.56E-60,DC,other
PSAP,LRP1,-1.868721329,1.13E-37,Prolif.T,0.137098017,1,DC,other
PSAP,SORT1,-1.868721329,1.13E-37,Prolif.T,-0.199118245,0.002654783,DC,other
RPS27A,TLR4,0.271557087,6.08E-08,Prolif.T,0.110770708,1,DC,other
S100A8,TLR4,-0.729893013,5.46E-29,Prolif.T,0.110770708,1,DC,other
S100A9,TLR4,-1.211132038,4.99E-51,Prolif.T,0.110770708,1,DC,other
SEMA3C,NRP2,-0.21025367,5.90E-47,Prolif.T,-0.218766387,1,DC,other
SEMA3C,PLXND1,-0.21025367,5.90E-47,Prolif.T,0.167137919,1,DC,other
SEMA4D,CD72,0.381745681,0.00177767,Prolif.T,0.226936838,0.1293368,DC,other
SERPINA1,LRP1,-2.686196949,4.31E-96,Prolif.T,0.137098017,1,DC,other
SERPING1,LRP1,-1.714943008,6.04E-82,Prolif.T,0.137098017,1,DC,other
TGFB1,CXCR4,-0.249651046,1,Prolif.T,-0.573173029,1.54E-16,DC,other
TGFB1,ITGB1,-0.249651046,1,Prolif.T,-0.213720894,0.008761289,DC,other
TGM2,ITGA4,-0.373808298,9.88E-28,Prolif.T,0.109853142,1,DC,other
TGM2,ITGB1,-0.373808298,9.88E-28,Prolif.T,-0.213720894,0.008761289,DC,other
THBS1,CD36,-0.483809195,3.22E-56,Prolif.T,0.428958151,2.36E-11,DC,other
THBS1,CD47,-0.483809195,3.22E-56,Prolif.T,0.412433656,1.07E-09,DC,other
THBS1,ITGA4,-0.483809195,3.22E-56,Prolif.T,0.109853142,1,DC,other
THBS1,ITGB1,-0.483809195,3.22E-56,Prolif.T,-0.213720894,0.008761289,DC,other
THBS1,LRP1,-0.483809195,3.22E-56,Prolif.T,0.137098017,1,DC,other
TIMP1,CD63,-0.535415675,9.55E-20,Prolif.T,0.173155184,1,DC,other
TIMP2,ITGB1,-0.711973042,2.42E-74,Prolif.T,-0.213720894,0.008761289,DC,other
TNFSF13,FAS,-1.24622549,2.57E-104,Prolif.T,0.164729635,0.00537555,DC,other
TNFSF13,TNFRSF14,-1.24622549,2.57E-104,Prolif.T,-0.146244493,1,DC,other
TNFSF13,TNFRSF1A,-1.24622549,2.57E-104,Prolif.T,0.120015386,1,DC,other
UBB,TLR4,-0.59336894,3.49E-19,Prolif.T,0.110770708,1,DC,other
UBC,TLR4,0.770458193,9.70E-18,Prolif.T,0.110770708,1,DC,other
VCAN,CD44,-0.679658836,9.62E-40,Prolif.T,-0.488779985,9.24E-21,DC,other
VCAN,ITGA4,-0.679658836,9.62E-40,Prolif.T,0.109853142,1,DC,other
VCAN,ITGB1,-0.679658836,9.62E-40,Prolif.T,-0.213720894,0.008761289,DC,other
VCAN,SELL,-0.679658836,9.62E-40,Prolif.T,0.85925678,5.28E-25,DC,other
VCAN,TLR2,-0.679658836,9.62E-40,Prolif.T,0.391835583,2.09E-07,DC,other
VIM,CD44,-1.220696124,1.65E-35,Prolif.T,-0.488779985,9.24E-21,DC,other
FYN,SPN,0.666903569,8.64E-11,Prolif.T,-0.130188099,0.940861835,DC,other
LGALS1,ITGB1,0.182888472,1,Prolif.T,-0.213720894,0.008761289,DC,other
LGALS1,PTPRC,0.182888472,1,Prolif.T,-0.317291221,1.92E-12,DC,other
CD6,ALCAM,0.347468401,0.001285201,Prolif.T,-0.390170607,4.47E-09,DC,other
ST6GAL1,CD22,0.187221662,1,Prolif.T,-0.290451788,1.25E-09,DC,other
BST2,LILRA4,0.857436752,2.00E-20,Prolif.T,0.705148514,1.05E-05,DC,other
PECAM1,CD38,-1.003300756,1.18E-82,Prolif.T,0.917199033,9.98E-40,DC,other
MRC1,PTPRC,-1.768549896,2.66E-123,Prolif.T,-0.317291221,1.92E-12,DC,other
CD52,SIGLEC10,-0.416111542,1.84E-06,Prolif.T,0.349294651,0.000145034,DC,other
A2M,LRP1,-0.2924628,0.000315374,DC,-0.924750868,1.61E-17,Ciliated,other
ALOX5AP,ALOX5,-0.367912707,6.15E-09,DC,-1.225292359,7.25E-28,Ciliated,other
APOE,LRP1,-0.331835089,1,DC,-0.924750868,1.61E-17,Ciliated,other
APOE,LRP8,-0.331835089,1,DC,0.299471972,0.003032852,Ciliated,other
APP,CD74,0.399543958,1.87E-06,DC,-1.45561727,3.46E-35,Ciliated,other
APP,FPR2,0.399543958,1.87E-06,DC,-0.175194589,1,Ciliated,other
APP,LRP1,0.399543958,1.87E-06,DC,-0.924750868,1.61E-17,Ciliated,other
APP,NCSTN,0.399543958,1.87E-06,DC,-0.162215109,1,Ciliated,other
APP,TNFRSF21,0.399543958,1.87E-06,DC,0.523727236,9.73E-05,Ciliated,other
ARF1,CHRM3,0.204192294,0.004280634,DC,-0.18227394,1,Ciliated,other
ARF1,INSR,0.204192294,0.004280634,DC,0.24520817,1,Ciliated,other
B2M,LILRB1,0.697552661,8.57E-67,DC,-0.210496382,1,Ciliated,other
B2M,LILRB2,0.697552661,8.57E-67,DC,0.131484291,1,Ciliated,other
B2M,TFRC,0.697552661,8.57E-67,DC,-1.097467854,1.06E-20,Ciliated,other
C1QB,LRP1,1.137480574,2.27E-12,DC,-0.924750868,1.61E-17,Ciliated,other
CALM1,FAS,0.429167884,7.92E-07,DC,0.186742653,0.075011496,Ciliated,other
CALM1,INSR,0.429167884,7.92E-07,DC,0.24520817,1,Ciliated,other
CALM1,MYLK,0.429167884,7.92E-07,DC,0.580392583,1.05E-11,Ciliated,other
CALM1,PDE1B,0.429167884,7.92E-07,DC,-0.310940072,0.015286234,Ciliated,other
CALM3,INSR,0.355074868,2.52E-06,DC,0.24520817,1,Ciliated,other
CALM3,MYLK,0.355074868,2.52E-06,DC,0.580392583,1.05E-11,Ciliated,other
CALM3,PDE1B,0.355074868,2.52E-06,DC,-0.310940072,0.015286234,Ciliated,other
CALR,ITGA3,0.65925361,1.01E-15,DC,0.372366526,2.97E-05,Ciliated,other
CALR,LRP1,0.65925361,1.01E-15,DC,-0.924750868,1.61E-17,Ciliated,other
CCL19,ACKR4,1.467600603,6.53E-08,DC,0.172378943,0.024366917,Ciliated,other
CCL19,CCRL2,1.467600603,6.53E-08,DC,-0.135143837,1,Ciliated,other
CCL2,ACKR4,2.102453938,3.87E-25,DC,0.172378943,0.024366917,Ciliated,other
CCL2,CCR1,2.102453938,3.87E-25,DC,0.103470431,1,Ciliated,other
CCL3L1,CCR1,-0.36332484,1.04E-14,DC,0.103470431,1,Ciliated,other
CCL5,SDC4,0.250622982,1,DC,0.901219995,6.20E-16,Ciliated,other
CCL8,ACKR4,0.928517389,1.83E-10,DC,0.172378943,0.024366917,Ciliated,other
CCL8,CCR1,0.928517389,1.83E-10,DC,0.103470431,1,Ciliated,other
CD14,ITGB1,0.657892425,6.74E-05,DC,-0.197384148,1,Ciliated,other
CD14,ITGB2,0.657892425,6.74E-05,DC,-0.926322467,5.74E-19,Ciliated,other
CD14,TLR4,0.657892425,6.74E-05,DC,-0.235743065,0.2239703,Ciliated,other
CD36,TLR4,0.428958151,2.36E-11,DC,-0.235743065,0.2239703,Ciliated,other
CD55,ADGRE5,-0.174194462,1,DC,-0.565366184,1.01E-06,Ciliated,other
CD58,CD2,-0.42038528,4.05E-13,DC,0.465826381,1,Ciliated,other
CXCL10,SDC4,1.538330446,4.04E-19,DC,0.901219995,6.20E-16,Ciliated,other
FN1,CD44,0.68337658,0.657220784,DC,-1.145435953,4.54E-21,Ciliated,other
FN1,ITGA2,0.68337658,0.657220784,DC,0.323465027,7.13E-08,Ciliated,other
FN1,ITGA3,0.68337658,0.657220784,DC,0.372366526,2.97E-05,Ciliated,other
FN1,PLAUR,0.68337658,0.657220784,DC,-1.019563315,1.79E-19,Ciliated,other
GNAI2,IGF1R,0.183091205,1,DC,0.444938746,5.62E-09,Ciliated,other
GNAI2,PTPRU,0.183091205,1,DC,0.287340455,0.000367958,Ciliated,other
GNAI2,S1PR4,0.183091205,1,DC,-0.4858567,5.70E-05,Ciliated,other
GZMB,CHRM3,2.086129354,2.85E-11,DC,-0.18227394,1,Ciliated,other
GZMB,IGF2R,2.086129354,2.85E-11,DC,-0.269917895,1,Ciliated,other
GZMB,PGRMC1,2.086129354,2.85E-11,DC,0.577801197,0.017980759,Ciliated,other
HBEGF,CD44,-0.127386216,1,DC,-1.145435953,4.54E-21,Ciliated,other
HBEGF,ERBB2,-0.127386216,1,DC,0.468367009,2.04E-08,Ciliated,other
HLA-A,APLP2,0.578792857,2.11E-50,DC,-0.399890848,0.008697482,Ciliated,other
HLA-A,ERBB2,0.578792857,2.11E-50,DC,0.468367009,2.04E-08,Ciliated,other
HLA-A,LILRB1,0.578792857,2.11E-50,DC,-0.210496382,1,Ciliated,other
HLA-A,LILRB2,0.578792857,2.11E-50,DC,0.131484291,1,Ciliated,other
HLA-B,CANX,0.341535847,6.81E-13,DC,0.281259625,1,Ciliated,other
HLA-B,LILRB1,0.341535847,6.81E-13,DC,-0.210496382,1,Ciliated,other
HLA-B,LILRB2,0.341535847,6.81E-13,DC,0.131484291,1,Ciliated,other
HLA-C,DDR1,0.355830621,8.35E-34,DC,0.724120103,1.04E-17,Ciliated,other
HLA-C,LILRB1,0.355830621,8.35E-34,DC,-0.210496382,1,Ciliated,other
HLA-C,LILRB2,0.355830621,8.35E-34,DC,0.131484291,1,Ciliated,other
HSP90AA1,ERBB2,0.578696663,4.19E-33,DC,0.468367009,2.04E-08,Ciliated,other
HSP90B1,ASGR1,1.074170718,4.52E-24,DC,-0.247077394,1,Ciliated,other
HSP90B1,ERBB2,1.074170718,4.52E-24,DC,0.468367009,2.04E-08,Ciliated,other
HSP90B1,LRP1,1.074170718,4.52E-24,DC,-0.924750868,1.61E-17,Ciliated,other
HSP90B1,TLR4,1.074170718,4.52E-24,DC,-0.235743065,0.2239703,Ciliated,other
HSP90B1,TLR7,1.074170718,4.52E-24,DC,-0.206236737,1,Ciliated,other
ICAM1,ITGAL,-0.244925197,1,DC,-0.442363695,0.001949167,Ciliated,other
ICAM1,ITGAX,-0.244925197,1,DC,-0.374591724,0.003386175,Ciliated,other
ICAM1,ITGB2,-0.244925197,1,DC,-0.926322467,5.74E-19,Ciliated,other
ICAM2,ITGAL,0.160142951,0.046792198,DC,-0.442363695,0.001949167,Ciliated,other
ICAM2,ITGB2,0.160142951,0.046792198,DC,-0.926322467,5.74E-19,Ciliated,other
ICAM3,ITGAL,-0.213496423,8.47E-05,DC,-0.442363695,0.001949167,Ciliated,other
ICAM3,ITGB2,-0.213496423,8.47E-05,DC,-0.926322467,5.74E-19,Ciliated,other
IL16,CD4,-0.193124932,0.003298946,DC,-0.374168118,0.007444583,Ciliated,other
INHBA,ACVR1,-0.479719933,1.13E-22,DC,0.212270407,1,Ciliated,other
INHBA,ACVR1B,-0.479719933,1.13E-22,DC,0.159406265,1,Ciliated,other
INHBA,ENG,-0.479719933,1.13E-22,DC,-0.596484658,2.70E-07,Ciliated,other
INHBA,TGFBR3,-0.479719933,1.13E-22,DC,0.159192374,0.024366917,Ciliated,other
LGALS3BP,ITGB1,0.321128794,0.000860647,DC,-0.197384148,1,Ciliated,other
LGALS3BP,VANGL1,0.321128794,0.000860647,DC,0.20806786,0.085341885,Ciliated,other
LTB,TNFRSF1A,0.162701279,7.39E-10,DC,-0.398852421,0.001511235,Ciliated,other
LYZ,ITGAL,-0.492058875,1.12E-21,DC,-0.442363695,0.001949167,Ciliated,other
MDK,ITGB1,0.289846551,4.83E-06,DC,-0.197384148,1,Ciliated,other
MDK,LRP1,0.289846551,4.83E-06,DC,-0.924750868,1.61E-17,Ciliated,other
MDK,SDC4,0.289846551,4.83E-06,DC,0.901219995,6.20E-16,Ciliated,other
MDK,TSPAN1,0.289846551,4.83E-06,DC,2.411961824,1.19E-52,Ciliated,other
P4HB,GPR162,0.173642864,1,DC,1.150230844,1.31E-28,Ciliated,other
PKM,CD44,-0.174182833,0.003199687,DC,-1.145435953,4.54E-21,Ciliated,other
PLAU,ITGA3,-0.122404296,1,DC,0.372366526,2.97E-05,Ciliated,other
PLAU,ITGB2,-0.122404296,1,DC,-0.926322467,5.74E-19,Ciliated,other
PLAU,LRP1,-0.122404296,1,DC,-0.924750868,1.61E-17,Ciliated,other
PLAU,PLAUR,-0.122404296,1,DC,-1.019563315,1.79E-19,Ciliated,other
PLAU,ST14,-0.122404296,1,DC,0.643153576,8.59E-06,Ciliated,other
RPS19,C5AR1,-0.247753199,1.02E-18,DC,-0.386672327,0.016251025,Ciliated,other
RPS27A,ERBB2,-0.373923697,4.39E-30,DC,0.468367009,2.04E-08,Ciliated,other
RPS27A,LDLR,-0.373923697,4.39E-30,DC,0.511554188,1,Ciliated,other
RPS27A,TGFBR2,-0.373923697,4.39E-30,DC,-0.123779762,1,Ciliated,other
RPS27A,TLR4,-0.373923697,4.39E-30,DC,-0.235743065,0.2239703,Ciliated,other
S100A8,TLR4,1.392842237,2.87E-08,DC,-0.235743065,0.2239703,Ciliated,other
S100A9,TLR4,1.252439942,1.28E-12,DC,-0.235743065,0.2239703,Ciliated,other
SERPING1,LRP1,0.524658948,1.33E-18,DC,-0.924750868,1.61E-17,Ciliated,other
SPP1,CD44,1.191136836,6.55E-08,DC,-1.145435953,4.54E-21,Ciliated,other
SPP1,ITGA5,1.191136836,6.55E-08,DC,-0.213322856,1,Ciliated,other
SPP1,ITGB1,1.191136836,6.55E-08,DC,-0.197384148,1,Ciliated,other
TGFB1,ENG,-0.115645709,1,DC,-0.596484658,2.70E-07,Ciliated,other
TGM2,ADGRG1,0.181261462,0.046309002,DC,0.275555365,4.34E-05,Ciliated,other
TGM2,SDC4,0.181261462,0.046309002,DC,0.901219995,6.20E-16,Ciliated,other
TIMP1,CD63,0.206008571,1,DC,-0.646349085,3.42E-16,Ciliated,other
TIMP2,ITGA3,0.102278174,1,DC,0.372366526,2.97E-05,Ciliated,other
UBA52,ERBB2,-0.133385921,0.485806668,DC,0.468367009,2.04E-08,Ciliated,other
UBB,ERBB2,0.123879011,0.000687624,DC,0.468367009,2.04E-08,Ciliated,other
UBC,ERBB2,0.146330419,1,DC,0.468367009,2.04E-08,Ciliated,other
VCAN,CD44,0.545262798,1.80E-07,DC,-1.145435953,4.54E-21,Ciliated,other
VCAN,ITGB1,0.545262798,1.80E-07,DC,-0.197384148,1,Ciliated,other
VEGFA,ITGB1,-0.266611663,1.29E-12,DC,-0.197384148,1,Ciliated,other
VEGFA,NRP1,-0.266611663,1.29E-12,DC,-0.17822653,1,Ciliated,other
VEGFA,NRP2,-0.266611663,1.29E-12,DC,0.218540309,1,Ciliated,other
VEGFA,SIRPA,-0.266611663,1.29E-12,DC,-0.609441827,6.92E-10,Ciliated,other
VIM,CD44,-0.511381767,1.11E-27,DC,-1.145435953,4.54E-21,Ciliated,other
LGALS8,ITGA3,0.166269208,1,DC,0.372366526,2.97E-05,Ciliated,other
SYK,FCGR2A,0.124837564,1,DC,-0.77195227,2.00E-11,Ciliated,other
PECAM1,CD38,0.145131868,1,DC,0.725015822,1.73E-14,Ciliated,other
CD22,PTPRC,-0.290451788,1.25E-09,DC,-0.597096405,5.03E-12,Ciliated,other
DSC2,DSG2,-0.386604495,1.22E-23,DC,0.381299105,3.02E-07,Ciliated,other
LILRB4,LAIR1,1.065902205,5.40E-50,DC,-0.636529143,9.46E-10,Ciliated,other
ICAM1,SPN,-0.244925197,1,DC,-1.047774625,4.05E-20,Ciliated,other
ADAM10,AXL,-0.108815053,1,Ciliated,-0.221964433,4.27E-07,DC,other
